Date,Open,High,Low,Close,Adj Close,Volume
12/04/19,125.099998,126.290001,124.75,125.790001,125.447365,1066500
15/04/19,126.190002,126.190002,124.279999,125.449997,125.108284,869200
16/04/19,127.959999,128.240005,125.790001,125.989998,125.64682,2014400
17/04/19,126.589996,127.059998,123.150002,124.82,124.480003,1985400
18/04/19,125.169998,125.169998,123.68,124.510002,124.170853,1154600
22/04/19,124.339996,124.760002,123.779999,124.349998,124.011284,1591200
23/04/19,124.449997,126.480003,124.099998,125.879997,125.537117,1631600
24/04/19,126,126.5,124.309998,124.489998,124.150902,1252900
25/04/19,124.620003,126.389999,123.959999,125.220001,124.878922,1328200
26/04/19,125.889999,129.199997,125.32,127.760002,127.412003,1850100
29/04/19,127.610001,130.639999,127.589996,129.979996,129.625946,1791500
30/04/19,129.389999,130.100006,128.660004,129.839996,129.486328,1800000
01/05/19,130.029999,131.710007,128.690002,128.809998,128.459137,1604100
02/05/19,128.559998,128.929993,126.470001,128.229996,127.880714,2238300
03/05/19,124.389999,127.18,123,127.099998,126.753792,3869900
06/05/19,124.519997,125.940002,123.449997,124.089996,123.751991,1889200
07/05/19,123.099998,125.339996,122.470001,122.870003,122.535324,2425200
08/05/19,122.230003,122.800003,120.599998,121.870003,121.538048,1574600
09/05/19,120.059998,120.870003,118.269997,119.300003,118.975044,1550700
10/05/19,120.230003,120.620003,117.199997,118.760002,118.436516,2343000
13/05/19,116.169998,117.029999,115.07,116.769997,116.451927,2155100
14/05/19,117.550003,119.919998,117.050003,119.559998,119.234329,2271200
15/05/19,118.699997,120.949997,118.32,119.139999,118.815475,1724500
16/05/19,119.330002,120.440002,118,118.169998,117.848122,2238700
17/05/19,117.75,118.220001,116.019997,116.260002,115.943321,1793100
20/05/19,115.239998,116.970001,114.480003,116.480003,116.162727,2485800
21/05/19,117.25,117.910004,116.379997,117.480003,117.160004,1450700
22/05/19,116.260002,117.75,116.260002,116.709999,116.709999,1029900
23/05/19,114.580002,117.389999,114.580002,116.440002,116.440002,1417300
24/05/19,117,117.739998,115.690002,115.919998,115.919998,1416800
28/05/19,116.040001,117.220001,115.629997,115.989998,115.989998,1588700
29/05/19,115.440002,116.5,115.169998,116.019997,116.019997,1460200
30/05/19,116.110001,116.809998,115.699997,116.099998,116.099998,1381700
31/05/19,115.169998,116.139999,114.860001,115,115,1422800
03/06/19,114.620003,116.919998,114.620003,116.169998,116.169998,1738300
04/06/19,117.010002,120.400002,117.010002,120.150002,120.150002,2118100
05/06/19,120.199997,120.620003,118.779999,120.57,120.57,1543900
06/06/19,121,122.230003,119.43,120.519997,120.519997,1949200
07/06/19,120.879997,122.940002,120.559998,122.599998,122.599998,1384700
10/06/19,123.199997,124.489998,121.540001,121.75,121.75,1468200
11/06/19,122.510002,124.160004,122.5,123.059998,123.059998,1376800
12/06/19,122.889999,124.510002,122.349998,124.220001,124.220001,1213200
13/06/19,124.910004,126.339996,124.480003,125.629997,125.629997,1308700
14/06/19,125.790001,127.839996,124.919998,126.809998,126.809998,1632500
17/06/19,126.629997,128.399994,126.120003,127.059998,127.059998,1357900
18/06/19,127.690002,129.169998,127.370003,127.589996,127.589996,1308600
19/06/19,127.339996,129.940002,126.949997,129.639999,129.639999,1692100
20/06/19,130,130.800003,129.070007,129.600006,129.600006,1305100
21/06/19,129.679993,131.139999,128.649994,130.479996,130.479996,1731200
24/06/19,131,131.949997,130.119995,130.229996,130.229996,1047400
25/06/19,130.820007,131.600006,129.690002,129.75,129.75,1007900
26/06/19,130.039993,130.710007,127.519997,127.660004,127.660004,1502400
27/06/19,128.389999,130.320007,127.949997,130.139999,130.139999,1029500
28/06/19,130.389999,133.289993,130.339996,133.029999,133.029999,1710100
01/07/19,133.949997,134.199997,132.119995,133.240005,133.240005,1280900
